iter	Passed	Remaining
0	135	135176
1	137	68453
2	137	45837
3	140	35053
4	143	28484
5	146	24268
6	147	20918
7	149	18578
8	151	16636
9	151	15036
10	153	13778
11	153	12668
12	155	11799
13	156	11013
14	157	10351
15	159	9803
16	160	9266
17	161	8802
18	161	8364
19	162	7971
20	163	7613
21	164	7296
22	164	6999
23	165	6743
24	167	6521
25	168	6304
26	168	6086
27	169	5888
28	170	5704
29	171	5530
30	172	5379
31	172	5224
32	173	5081
33	174	4944
34	174	4821
35	175	4699
36	176	4585
37	176	4475
38	177	4371
39	178	4277
40	179	4187
41	179	4100
42	180	4013
43	180	3930
44	181	3849
45	181	3772
46	182	3698
47	183	3630
48	183	3563
49	184	3498
50	184	3436
51	185	3377
52	185	3321
53	186	3265
54	186	3212
55	187	3160
56	188	3111
57	188	3062
58	189	3016
59	189	2971
60	190	2930
61	190	2889
62	191	2851
63	192	2812
64	192	2774
65	193	2737
66	193	2700
67	194	2661
68	194	2626
69	195	2593
70	195	2563
71	196	2532
72	197	2501
73	197	2471
74	198	2442
75	198	2414
76	199	2386
77	199	2358
78	200	2333
79	200	2307
80	201	2282
81	201	2257
82	202	2234
83	202	2211
84	203	2188
85	204	2169
86	204	2148
87	205	2126
88	205	2106
89	206	2086
90	206	2066
91	207	2047
92	207	2028
93	208	2009
94	209	1991
95	209	1972
96	210	1955
97	210	1937
98	211	1920
99	211	1903
100	212	1887
101	212	1869
102	212	1853
103	213	1839
104	214	1824
105	214	1810
106	215	1799
107	216	1785
108	217	1774
109	217	1761
110	218	1747
111	218	1734
112	219	1722
113	219	1709
114	220	1695
115	220	1682
116	221	1671
117	222	1659
118	222	1646
119	222	1634
120	223	1622
121	223	1611
122	224	1598
123	224	1587
124	225	1576
125	225	1566
126	226	1555
127	226	1543
128	227	1533
129	227	1524
130	228	1517
131	229	1508
132	229	1499
133	230	1489
134	230	1480
135	231	1470
136	232	1461
137	232	1452
138	233	1443
139	233	1435
140	234	1426
141	234	1418
142	235	1409
143	235	1401
144	236	1392
145	236	1384
146	237	1376
147	237	1369
148	238	1361
149	239	1354
150	239	1347
151	240	1341
152	241	1335
153	242	1329
154	242	1322
155	243	1315
156	243	1308
157	244	1301
158	244	1294
159	245	1287
160	246	1282
161	246	1275
162	247	1268
163	247	1262
164	248	1255
165	248	1248
166	249	1242
167	249	1236
168	250	1230
169	250	1225
170	251	1219
171	252	1213
172	252	1207
173	253	1202
174	254	1198
175	254	1193
176	255	1187
177	255	1181
178	256	1176
179	256	1170
180	257	1163
181	257	1158
182	258	1152
183	258	1147
184	259	1142
185	259	1136
186	260	1131
187	260	1126
188	261	1121
189	261	1116
190	262	1111
191	262	1106
192	263	1102
193	264	1097
194	264	1093
195	265	1089
196	266	1085
197	266	1081
198	267	1077
199	268	1072
200	268	1067
201	269	1063
202	269	1058
203	270	1054
204	270	1050
205	271	1045
206	271	1041
207	272	1037
208	272	1032
209	273	1028
210	273	1024
211	274	1020
212	275	1016
213	275	1012
214	276	1008
215	276	1004
216	277	1000
217	277	996
218	278	993
219	279	990
220	280	987
221	280	983
222	281	979
223	281	975
224	282	971
225	282	967
226	283	964
227	283	960
228	284	956
229	284	953
230	285	949
231	285	945
232	286	942
233	286	938
234	287	935
235	287	931
236	288	928
237	288	925
238	289	921
239	289	918
240	290	915
241	291	913
242	292	910
243	292	907
244	293	904
245	293	901
246	294	897
247	294	894
248	295	891
249	296	888
250	296	885
251	297	881
252	297	878
253	298	875
254	298	872
255	299	869
256	300	867
257	300	864
258	301	861
259	301	859
260	302	857
261	303	855
262	304	853
263	305	851
264	305	848
265	306	845
266	306	842
267	307	839
268	307	836
269	308	833
270	308	830
271	309	828
272	309	825
273	310	822
274	310	819
275	311	817
276	312	814
277	312	811
278	313	808
279	313	806
280	314	803
281	314	801
282	315	798
283	316	796
284	316	794
285	317	793
286	318	791
287	319	790
288	320	788
289	321	786
290	321	783
291	322	781
292	322	779
293	323	776
294	323	774
295	324	771
296	324	769
297	325	766
298	325	764
299	326	761
300	327	759
301	327	757
302	328	755
303	328	752
304	329	751
305	330	748
306	330	746
307	331	744
308	331	741
309	332	739
310	332	737
311	333	735
312	333	732
313	334	730
314	334	728
315	335	726
316	335	723
317	336	721
318	336	719
319	337	716
320	337	714
321	338	712
322	338	710
323	339	708
324	340	706
325	341	705
326	342	704
327	342	702
328	343	700
329	344	698
330	344	696
331	344	694
332	345	692
333	346	689
334	346	687
335	347	685
336	347	684
337	348	682
338	348	680
339	349	678
340	349	676
341	350	674
